1801;Marija;Stojanovska;marija.stojanovska@students.school.com;1,2;WP2021009
1802;Borjan;Angelovski;bojan.angelovski@students.school.com;2,5;MA2129001,WP2021009
1803;Stefanija;Maric;stefanija.maric@students.school.com;1,2;MA2129001,WP2021009
1804;Belma;Jahovic;belma.jahovic@students.school.com;3;MA2129001
1805;Angela;Radenovska;angela.radenovska@students.school.com;5;WP2021009
1806;Marko;Krstevski;marko.krstevski@students.school.com;3,5;MA2129001,WP2021009
1807;Elena;Stojmenova;elena.stojmenova@students.school.com;3,5;MA2129001;
1808;Jovan;Stojanovic;jovan.stojanovic@students.school.com;1;WP2021009
1809;Elena;Beleva;elena.beleva@students.school.com;1,3;WP2021009,MA2129001
1810;Maja;Kostic;maja.kostic@students.school.com;1,5;MA2129001,WP2021009
1901;Armin;Xhaferi;armin.xhaferi@students.school.com;1,2;WP2021009,MA2129001
1902;Stefan;Stefanovski;stefan.stefanovski@students.school.com;2;WP2021009,WP2021009
1903;Ema;Jovanovska;ema.jovanoska@students.school.com;2,5;MA2129001,WP2021009
1904;Ana;Ristova;ana.ristova@students.school.com;2,3;WP2021009,MA2129001
1905;Tijana;Balic;tijana.balic@students.school.com;2,3;WP2021009,MA2129001
1906;Dejan;Gelevski;dejan.gelevski@students.school.com;3;MA2129001;
1907;Mehan;Rexhepi;merhan.rexhepi@students.school.com;1,2;MA2129001,WP2021009
1908;Borjana;Atanasoska;borjana.atanasoska@students.school.com;2,3;WP2021009,MA2129001;
1909;Simon;Mickoski;simon.mickoski@students.school.com;1,5;MA2129001,WP2021009
1910;Teodora;Nedeska;teodora.nedeska@students.school.com;5;WP2021009
